danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.78,0.406,0,-12.413,1,0.0478,0.72,0.487,0.0897,0.709,140.0,audio_features,4vjDz2rxAmMwCoRnOfVrlk,spotify:track:4vjDz2rxAmMwCoRnOfVrlk,https://api.spotify.com/v1/tracks/4vjDz2rxAmMwCoRnOfVrlk,https://api.spotify.com/v1/audio-analysis/4vjDz2rxAmMwCoRnOfVrlk,343348,4
0.612,0.419,10,-7.819,0,0.0707,0.716,0.00247,0.108,0.077,108.003,audio_features,2tPJCQeASrGfqswxK90BhM,spotify:track:2tPJCQeASrGfqswxK90BhM,https://api.spotify.com/v1/tracks/2tPJCQeASrGfqswxK90BhM,https://api.spotify.com/v1/audio-analysis/2tPJCQeASrGfqswxK90BhM,195834,4
0.699,0.255,4,-8.647,0,0.0303,0.405,0.00242,0.0985,0.242,132.031,audio_features,3ppVO2tyWRRznNmONvt7Se,spotify:track:3ppVO2tyWRRznNmONvt7Se,https://api.spotify.com/v1/tracks/3ppVO2tyWRRznNmONvt7Se,https://api.spotify.com/v1/audio-analysis/3ppVO2tyWRRznNmONvt7Se,106333,3
0.574,0.176,8,-10.924,0,0.213,0.928,0.437,0.119,0.497,78.929,audio_features,3NiL2JcFIncyshy4KOKA73,spotify:track:3NiL2JcFIncyshy4KOKA73,https://api.spotify.com/v1/tracks/3NiL2JcFIncyshy4KOKA73,https://api.spotify.com/v1/audio-analysis/3NiL2JcFIncyshy4KOKA73,236236,4
0.688,0.418,5,-10.023,0,0.037,0.67,0.000873,0.121,0.338,129.959,audio_features,4z6YXURKvs98NXUlVGyevf,spotify:track:4z6YXURKvs98NXUlVGyevf,https://api.spotify.com/v1/tracks/4z6YXURKvs98NXUlVGyevf,https://api.spotify.com/v1/audio-analysis/4z6YXURKvs98NXUlVGyevf,239385,4
0.668,0.374,9,-8.731,1,0.0346,0.952,0.0105,0.101,0.34,94.939,audio_features,1ZUFxryfVf5395tqMWlyRM,spotify:track:1ZUFxryfVf5395tqMWlyRM,https://api.spotify.com/v1/tracks/1ZUFxryfVf5395tqMWlyRM,https://api.spotify.com/v1/audio-analysis/1ZUFxryfVf5395tqMWlyRM,171859,4
0.626,0.488,2,-7.416,1,0.0431,0.429,0.0,0.0668,0.554,64.942,audio_features,3rgPcA3yCtvVCxvcVFcBxs,spotify:track:3rgPcA3yCtvVCxvcVFcBxs,https://api.spotify.com/v1/tracks/3rgPcA3yCtvVCxvcVFcBxs,https://api.spotify.com/v1/audio-analysis/3rgPcA3yCtvVCxvcVFcBxs,251038,4
0.666,0.272,4,-12.654,0,0.037,0.692,4.61e-05,0.11,0.4,108.789,audio_features,2SQQ2cRIydKNeyXEq5uupd,spotify:track:2SQQ2cRIydKNeyXEq5uupd,https://api.spotify.com/v1/tracks/2SQQ2cRIydKNeyXEq5uupd,https://api.spotify.com/v1/audio-analysis/2SQQ2cRIydKNeyXEq5uupd,189258,5
0.654,0.367,7,-10.471,0,0.104,0.394,2.06e-06,0.162,0.191,109.708,audio_features,2WFPw4XpswToe0t3MhzhCN,spotify:track:2WFPw4XpswToe0t3MhzhCN,https://api.spotify.com/v1/tracks/2WFPw4XpswToe0t3MhzhCN,https://api.spotify.com/v1/audio-analysis/2WFPw4XpswToe0t3MhzhCN,178909,4
0.725,0.417,1,-10.635,0,0.0976,0.445,0.79,0.0834,0.975,151.947,audio_features,0J9uaeOd7GZi9MTybtqAD4,spotify:track:0J9uaeOd7GZi9MTybtqAD4,https://api.spotify.com/v1/tracks/0J9uaeOd7GZi9MTybtqAD4,https://api.spotify.com/v1/audio-analysis/0J9uaeOd7GZi9MTybtqAD4,199615,4
