display_name,external_urls,href,id,images,type,uri,followers,country,product,explicit_content,email,genres,name,popularity,album,artists,available_markets,disc_number,duration_ms,explicit,external_ids,is_local,preview_url,track_number,audio_features
,{'spotify': 'https://open.spotify.com/artist/2BPwxhCvvcb8xDl8GWIjbh'},https://api.spotify.com/v1/artists/2BPwxhCvvcb8xDl8GWIjbh,2BPwxhCvvcb8xDl8GWIjbh,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb45484e95806d34345a94a4aa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517445484e95806d34345a94a4aa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17845484e95806d34345a94a4aa', 'width': 160}]",top_artist,spotify:artist:2BPwxhCvvcb8xDl8GWIjbh,"{'href': None, 'total': 76641}",,,,,"['afrobeats', 'uk contemporary r&b']",Odeal,59.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp'},https://api.spotify.com/v1/artists/2PCl4hx9Qds8sjcnoWUdqp,2PCl4hx9Qds8sjcnoWUdqp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1745508031f4eaf7ba345c82', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741745508031f4eaf7ba345c82', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781745508031f4eaf7ba345c82', 'width': 160}]",top_artist,spotify:artist:2PCl4hx9Qds8sjcnoWUdqp,"{'href': None, 'total': 125377}",,,,,[],Sondae,56.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/00x1fYSGhdqScXBRpSj3DW'},https://api.spotify.com/v1/artists/00x1fYSGhdqScXBRpSj3DW,00x1fYSGhdqScXBRpSj3DW,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb21c1b52c26e9bf7b4d5ccf44', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517421c1b52c26e9bf7b4d5ccf44', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17821c1b52c26e9bf7b4d5ccf44', 'width': 160}]",top_artist,spotify:artist:00x1fYSGhdqScXBRpSj3DW,"{'href': None, 'total': 386835}",,,,,['pop soul'],Olivia Dean,65.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/3YCKuqpv9nCsIhJ2v8SMix'},https://api.spotify.com/v1/artists/3YCKuqpv9nCsIhJ2v8SMix,3YCKuqpv9nCsIhJ2v8SMix,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba1e554b0ad825f762572321f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a1e554b0ad825f762572321f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a1e554b0ad825f762572321f', 'width': 160}]",top_artist,spotify:artist:3YCKuqpv9nCsIhJ2v8SMix,"{'href': None, 'total': 3389099}",,,,,"['ccm', 'christian music', 'worship']",Elevation Worship,72.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/6eAUAR4N9NOpirukqdIzVI'},https://api.spotify.com/v1/artists/6eAUAR4N9NOpirukqdIzVI,6eAUAR4N9NOpirukqdIzVI,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb41018244a170551ea2f9a2b4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517441018244a170551ea2f9a2b4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17841018244a170551ea2f9a2b4', 'width': 160}]",top_artist,spotify:artist:6eAUAR4N9NOpirukqdIzVI,"{'href': None, 'total': 222158}",,,,,['pop soul'],Madison Ryann Ward,55.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr'},https://api.spotify.com/v1/artists/1XkoF8ryArs86LZvFOkbyr,1XkoF8ryArs86LZvFOkbyr,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc9795e444b70d04beca52d5a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c9795e444b70d04beca52d5a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c9795e444b70d04beca52d5a', 'width': 160}]",top_artist,spotify:artist:1XkoF8ryArs86LZvFOkbyr,"{'href': None, 'total': 3822042}",,,,,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",Mary J. Blige,69.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'},https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc878d7a8f8299a3a09e29fb6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c878d7a8f8299a3a09e29fb6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c878d7a8f8299a3a09e29fb6', 'width': 160}]",top_artist,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,"{'href': None, 'total': 50765221}",,,,,"['permanent wave', 'pop']",Coldplay,86.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/58r1rB5t3VF5X6yXGPequV'},https://api.spotify.com/v1/artists/58r1rB5t3VF5X6yXGPequV,58r1rB5t3VF5X6yXGPequV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdeba43f5c945f3fe589f610c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174deba43f5c945f3fe589f610c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178deba43f5c945f3fe589f610c', 'width': 160}]",top_artist,spotify:artist:58r1rB5t3VF5X6yXGPequV,"{'href': None, 'total': 1811697}",,,,,"['sda a cappella', 'worship']",Maverick City Music,69.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/7gU9VyFRN3JWPJ5oHOil60'},https://api.spotify.com/v1/artists/7gU9VyFRN3JWPJ5oHOil60,7gU9VyFRN3JWPJ5oHOil60,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb986f5e1c6f66dc40537407c3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174986f5e1c6f66dc40537407c3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178986f5e1c6f66dc40537407c3', 'width': 160}]",top_artist,spotify:artist:7gU9VyFRN3JWPJ5oHOil60,"{'href': None, 'total': 2581165}",,,,,"['pop urbaine', 'r&b francais']",Tayc,72.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs'},https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs,2EMAnMvWE2eb56ToJVfCWs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174078fdd734b7f0aa782328428', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178078fdd734b7f0aa782328428', 'width': 160}]",top_artist,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,"{'href': None, 'total': 8474294}",,,,,"['kentucky hip hop', 'r&b', 'rap']",Bryson Tiller,81.0,,,,,,,,,,,
